"","ITIS_TSN","ScientificName_ITIS","WoRMS_AphiaID","ScientificName_WoRMS","tblcodeid_Aphia_fn","tblcodeid_Aphia","WoRMS_AphiaID_Valid"
"1",NA,NA,171982,"Acanthascus (Rhabdocalyptus) mirabilis",4679,4679,465693
"2",98744,"Macropipus puber",154300,"Macropipus puber",4680,4680,107398
"3",97973,"Munida rugosa",107160,"Munida rugosa",4681,4681,107160
"4",NA,NA,532035,"Gracilechinus elegans",4687,4687,532035
"5",81488,"Dosinia",138636,"Dosinia",4688,4688,138636
"6",NA,NA,510534,"Echinidea",4689,4689,510534
"7",81694,"Mya truncata",140431,"Mya truncata",4690,4690,140431
"8",157295,"Stichastrella rosea",123813,"Stichastrella rosea",4691,4691,123813
"9",NA,NA,107392,"Liocarcinus navigator",4692,4692,107392
"10",157969,"Strongylocentrotus droebachiensis ",124321,"Strongylocentrotus droebachiensis",4693,4693,124321
"11",NA,NA,151356,"Perca cernua",4707,4707,405451
"12",NA,NA,125996,"Neogobius",4708,4708,125996
"13",NA,NA,126639,"Halosauropsis macrochir",4714,4714,126639
"14",NA,NA,183099,"Coryphaenoides mediterraneus",4715,4715,183099
"15",NA,NA,127358,"Malacosteus niger",4716,4716,127358
"16",NA,NA,126486,"Antimora rostrata",4717,4717,126486
"17",NA,NA,126681,"Alepocephalus agassizii",4718,4718,126681
"18",NA,NA,105879,"Neoraja caerulea",4719,4719,105879
"19",NA,NA,126745,"Normichthys operosus",4720,4720,126745
"20",NA,NA,127122,"Pachycara crassiceps",4721,4721,127122
"21",NA,NA,126327,"Simenchelys parasitica",4722,4722,126327
"22",NA,NA,126709,"Rouleina attrita",4723,4723,126709
"23",NA,NA,105808,"Apristurus manis",4724,4724,105808
"24",NA,NA,127334,"Borostomias antarcticus",4725,4725,127334
"25",NA,NA,105827,"Hydrolagus pallidus",4726,4726,105827
"26",NA,NA,127278,"Scopelogadus beanii",4727,4727,127278
"27",NA,NA,105809,"Apristurus microps",4728,4728,105809
"28",NA,NA,280299,"Coelorinchus labiatus",4729,4729,280299
"29",NA,NA,158958,"Coryphaenoides guentheri",4730,4730,158958
"30",NA,NA,105829,"Harriotta raleighana",4731,4731,105829
"31",NA,NA,126393,"Anoplogaster cornuta",4732,4732,126393
"32",NA,NA,105867,"Bathyraja richardsoni",4733,4733,105867
"33",NA,NA,126483,"Melanonus zugmayeri",4734,4734,126483
"34",NA,NA,126657,"Cataetyx laticeps",4735,4735,126657
"35",NA,NA,126687,"Bajacalifornia megalops",4736,4736,126687
"36",NA,NA,126319,"Serrivomer beanii",4737,4737,126319
"37",NA,NA,126398,"Diretmus argenteus",4738,4738,126398
"38",NA,NA,126739,"Holtbyrnia anomala",4739,4739,126739
"39",NA,NA,126645,"Polyacanthonotus rissoanus",4740,4740,126645
"40",NA,NA,105807,"Apristurus laurussonii",4741,4741,105807
"41",NA,NA,127110,"Lycodes pallidus",4742,4742,127110
"42",NA,NA,126678,"Spectrunculus grandis",4743,4743,126678
"43",NA,NA,126695,"Conocara macropterum",4744,4744,126695
"44",NA,NA,126359,"Magnisudis atlantica",4745,4745,126359
"45",NA,NA,105806,"Apristurus aphyodes",4746,4746,105806
"46",NA,NA,127237,"Cottunculus thomsonii",4747,4747,127237
"47",NA,NA,126161,"Paraliparis",4748,4748,126161
"48",NA,NA,271345,"Apristurus melanoasper",4750,4750,271345
"49",NA,NA,126642,"Notacanthus bonaparte",4751,4751,126642
"50",NA,NA,126840,"Chiasmodon niger",4752,4752,126840
"51",NA,NA,105864,"Amblyraja jenseni",4753,4753,105864
"52",NA,NA,126325,"Ilyophis blachei",4754,4754,126325
"53",NA,NA,126310,"Venefica proboscidea",4755,4755,126310
"54",NA,NA,126369,"Bathysaurus ferox",4756,4756,126369
"55",NA,NA,126342,"Bathypterois dubius",4757,4757,126342
"56",NA,NA,105825,"Hydrolagus affinis",4758,4758,105825
"57",82635,"Bathypolypus",138265,"Bathypolypus",4682,4682,138265
"58",173001,"Solea vulgaris",154712,"Solea vulgaris",4684,4684,127160
"59",166278,"Zeidae",125617,"Zeidae",4685,4685,125617
"60",NA,NA,167039,"Corvomeyenia carolinensis",4696,4696,167039
"61",NA,NA,322770,"Pomatoschistus microps microps",4697,4697,126927
"62",NA,NA,105911,"Etmopterus princeps",4759,4759,105911
"63",NA,NA,281518,"Manducus maderensis",4760,4760,281518
"64",NA,NA,126995,"Howella sherborni",4761,4761,126995
"65",NA,NA,271509,"Bathyraja brachyurops",4764,4764,271509
"66",NA,NA,125882,"Rouleina",4785,4785,125882
"67",NA,NA,126684,"Alepocephalus rostratus",4786,4786,126684
"68",NA,NA,105893,"Rajella bigelowi",4787,4787,105893
"69",NA,NA,126630,"Symbolophorus veranyi",4788,4788,126630
"70",NA,NA,127120,"Melanostigma atlanticum",4789,4789,127120
"71",NA,NA,126204,"Borostomias",4790,4790,126204
"72",NA,NA,125500,"Halosauridae",4791,4791,125500
"73",NA,NA,126683,"Alepocephalus productus",4792,4792,126683
"74",NA,NA,125672,"Scopelosaurus",4793,4793,125672
"75",NA,NA,126496,"Lepidion schmidti",4794,4794,126496
"76",NA,NA,105877,"Malacoraja kreffti",4795,4795,105877
"77",NA,NA,127117,"Lycodes terraenovae",4796,4796,127117
"78",NA,NA,127377,"Trigonolampa miriceps",4797,4797,127377
"79",NA,NA,126706,"Narcetes stomias",4798,4798,126706
"80",NA,NA,105920,"Somniosus rostratus",4799,4799,105920
"81",NA,NA,126743,"Maulisia microlepis",4800,4800,126743
"82",NA,NA,126711,"Talismania antillarum",4801,4801,126711
"83",NA,NA,105915,"Oxynotus paradoxus",4802,4802,105915
"84",NA,NA,126538,"Cryptopsaras couesii",4803,4803,126538
"85",NA,NA,126292,"Nessorhamphus ingolfianus",4804,4804,126292
"86",NA,NA,398363,"Sigmops bathyphilus",4805,4805,398363
"87",NA,NA,105908,"Centroscymnus crepidater",4808,4808,105908
"88",NA,NA,712407,"Chimaera opalescens",4809,4809,712407
"89",NA,NA,101163,"Petromyzontidae",4810,4810,101163
"90",NA,NA,300719,"Gadiculus thori",4871,4871,300719
"91",NA,NA,151324,"Sebastes norvegicus",4872,4872,151324
"92",NA,NA,107393,"Liocarcinus pusillus",4873,4873,107393
"93",NA,NA,711846,"Dipturus intermedia",4875,4875,105869
"94",NA,NA,711847,"Dipturus flossada",4876,4876,105869
"95",NA,NA,107342,"Macropodia longipes",4882,4882,107342
"96",NA,NA,107399,"Polybius henslowii",4883,4883,107399
"97",NA,NA,883,"Polychaeta",4884,4884,883
"98",NA,NA,399562,"Sciliorhinus caniculus",4885,4885,105814
"99",NA,NA,535934,"Maia squinado",4886,4886,107350
"100",NA,NA,117940,"Thuiaria thuja",4887,4887,117940
"101",NA,NA,106849,"Anapagurus",4888,4888,106849
"102",NA,NA,117644,"Hydractinia echinata",4889,4889,117644
"103",NA,NA,117994,"Tubularia indivisa",4890,4890,117994
"104",NA,NA,117809,"Nemertesia antennina",4891,4891,117809
"105",NA,NA,1839,"Ascidiacea",4892,4892,1839
"106",NA,NA,124154,"Crossaster papposus",4893,4893,124154
"107",NA,NA,100982,"Metridium senile",4894,4894,100982
"108",NA,NA,107346,"Macropodia tenuirostris",4895,4895,107346
"109",NA,NA,138902,"Colus islandicus",4896,4896,138902
"110",NA,NA,107564,"Pontophilus spinosus",4897,4897,107564
"111",NA,NA,107281,"Thia scutellata",4898,4898,107281
"112",NA,NA,111597,"Alcyonidium diaphanum",4899,4899,111597
"113",NA,NA,123494,"Thyone",4900,4900,146116
"114",NA,NA,100706,"Urticina",4901,4901,100706
"115",NA,NA,181228,"Doris pseudoargus",4902,4902,181228
"116",NA,NA,124710,"Psolus phantapus",4903,4903,124710
"117",NA,NA,125166,"Porania (Porania) pulvillus",4904,4904,125166
"118",NA,NA,123479,"Cucumaria",4905,4905,123479
"119",NA,NA,129379,"Nereis",4906,4906,129379
"120",NA,NA,130989,"Filograna implexa",4907,4907,130989
"121",NA,NA,138938,"Volutopsius norwegicus",4908,4908,138938
"122",NA,NA,141433,"Abra alba",4909,4909,141433
"123",NA,NA,107188,"Pisidia longicornis",4910,4910,107188
"124",NA,NA,111453,"Reteporella grimaldii",4911,4911,111453
"125",NA,NA,140300,"Spisula elliptica",4912,4912,140300
"126",NA,NA,416648,"Tritonia hombergii",4913,4913,416648
"127",NA,NA,140717,"Pseudamussium peslutrae",4914,4914,140717
"128",NA,NA,236719,"Mimachlamys varia",4915,4915,236719
